date,status_of_system,latitude,longitude,max_sustained_wind,central_pressure,,,,,,,,,,,,,
18541021,TS,28.6N,67.3W,60,,,,,,,,,,,,,,
18541021,TS,29.5N,67.0W,60,,,,,,,,,,,,,,
18541021,TS,30.3N,66.6W,60,,,,,,,,,,,,,,
18541021,TS,31.5N,65.6W,60,,,,,,,,,,,,,,
18541022,TS,32.4N,64.3W,60,,,,,,,,,,,,,,
18541022,TS,33.0N,62.8W,60,,,,,,,,,,,,,,
18541022,TS,33.5N,61.0W,50,,,,,,,,,,,,,,
18541022,TS,34.2N,58.7W,50,,,,,,,,,,,,,,
18550806,HU,22.2N,98.0W,90,,,,,,,,,,,,,,
18550810,HU,44.0N,42.0W,90,,,,,,,,,,,,,,
18550810,HU,46.0N,39.0W,90,,,,,,,,,,,,,,
18550810,HU,48.0N,36.0W,90,,,,,,,,,,,,,,
18550810,HU,50.0N,32.5W,90,,,,,,,,,,,,,,
18550811,HU,52.0N,29.0W,90,,,,,,,,,,,,,,
18550811,HU,54.0N,24.0W,90,,,,,,,,,,,,,,
18550811,HU,12.5N,83.0W,70,,,,,,,,,,,,,,
18550824,TS,12.0N,55.9W,50,,,,,,,,,,,,,,
18550824,TS,12.0N,57.1W,50,,,,,,,,,,,,,,
18550824,TS,12.1N,58.3W,50,,,,,,,,,,,,,,
18550824,TS,12.3N,59.5W,50,,,,,,,,,,,,,,
18550825,TS,12.8N,60.7W,60,,,,,,,,,,,,,,
18550825,TS,13.5N,61.9W,60,,,,,,,,,,,,,,
18550825,TS,14.1N,62.8W,60,,,,,,,,,,,,,,
18550825,TS,14.8N,63.7W,60,,,,,,,,,,,,,,
18550826,TS,15.6N,64.4W,60,,,,,,,,,,,,,,
18550826,TS,16.4N,65.4W,60,,,,,,,,,,,,,,
18550826,TS,17.1N,66.5W,60,,,,,,,,,,,,,,
18550826,TS,17.7N,67.9W,60,,,,,,,,,,,,,,
18550827,TS,18.4N,69.5W,50,997,,,,,,,,,,,,,
18550827,TS,19.2N,71.1W,50,,,,,,,,,,,,,,
18550827,TS,19.5N,72.3W,40,,,,,,,,,,,,,,
18550827,TS,19.7N,73.6W,40,,,,,,,,,,,,,,
18550915,HU,26.7N,89.1W,70,,,,,,,,,,,,,,
